date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:39	183965/183965	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Mar%202025%2020:15:12%20GMT	https://jacobsbayaccommodations.co.za/	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/index.html	(from )
14:57:40	180/180	---M-Z	200	added ('OK')	text/plain	date:Wed,%2019%20Mar%202025%2012:57:40%20GMT	https://jacobsbayaccommodations.co.za/robots.txt		(from )
14:57:40	79563/79563	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202025%2009:16:28%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.2.0	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend3601.css	(from https://jacobsbayaccommodations.co.za/)
14:57:41	2894/2894	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202025%2009:10:22%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.3	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/contact-form-7/includes/css/styles1eb7.css	(from https://jacobsbayaccommodations.co.za/)
14:57:41	2391/2391	---M-Z	200	added ('OK')	application/rss+xml	etag:%228cb864e7ae5218c583ffd59cc8b00600%22	https://jacobsbayaccommodations.co.za/feed/	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/feed/index.html	(from https://jacobsbayaccommodations.co.za/)
14:57:41	2782/2782	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Feb%202025%2012:58:21%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1739451501	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.mindcce.css	(from https://jacobsbayaccommodations.co.za/)
14:57:41	1681/1681	---M-Z	200	added ('OK')	application/rss+xml	etag:%228cb864e7ae5218c583ffd59cc8b00600%22	https://jacobsbayaccommodations.co.za/comments/feed/	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/comments/feed/index.html	(from https://jacobsbayaccommodations.co.za/)
14:57:41	776/776	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202025%2009:16:28%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.2.0	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor3601.css	(from https://jacobsbayaccommodations.co.za/)
14:57:41	20060/20060	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Feb%202025%2012:58:32%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.35.0	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minf25c.css	(from https://jacobsbayaccommodations.co.za/)
14:57:42	53269/53269	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Feb%202025%2012:58:31%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.4	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/elementor/assets/css/frontend.min3830.css	(from https://jacobsbayaccommodations.co.za/)
